name,real_x,real_y,real_z,temperature,humidity,speed_of_sound,beamforming_max_x,beamforming_max_y,beamforming_max_z,beamforming_dist,beamforming_dist_xy,x_mean,y_mean,z_mean,s_mean,std_x,std_y,std_z,std_s,iqr_dist,coord_std,coord_std_xy,mean_dist,median_dist,mean_dist_xy,median_dist_xy,mean_diff_x,mean_diff_y,mean_diff_z,accuracy_1cm,accuracy_1cm_xy,accuracy_2cm,accuracy_2cm_xy,accuracy_5cm,accuracy_5cm_xy,accuracy_10cm,accuracy_10cm_xy,accuracy_15cm,accuracy_15cm_xy,accuracy_20cm,accuracy_20cm_xy,accuracy_30cm,accuracy_30cm_xy,accuracy_40cm,accuracy_40cm_xy,accuracy_50cm,accuracy_50cm_xy,accuracy_60cm,accuracy_60cm_xy,mae_x,mae_y,mae_z,mae_xy,mae_coord
"Group 5, Number 2",0.0,0.005,1.9,22.70084687571527,47.22667277027542,413.53392614047465,0.0,0.050000000000000044,0.5,1.4007230275825409,1.4007230275825409,0.036169567006569765,0.05642175951697673,1.607337328488372,120.304515627907,0.032707579286897555,0.02815218480653057,0.03774789187201017,1.2348528195019903,0.05709701693252095,0.0328692186551461,0.03042988204671406,0.30215717896579636,0.3024699223338203,0.0714139967354368,0.0690140937942969,0.04168167669261627,0.05226479004023254,0.29266267151162784,0.0,0.0,0.0,0.046511627906976744,0.0,0.18604651162790697,0.0,0.8604651162790697,0.0,1.0,0.0,1.0,0.4883720930232558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04168167669261627,0.05226479004023254,0.2926626715116279,0.0469732333664244,0.1288697127481589
"Group 5, Number 3",0.0,0.005,1.65,22.853055619134807,46.877241168841074,413.7633947350424,0.0,0.0,-1.15,2.8000044642821553,2.8000044642821553,0.058616727562209286,0.007536642447889533,1.6002432779069766,120.71060831976747,0.03313869056648885,0.04756281892050028,0.04473854929771048,1.2992646817450464,0.0460583622891958,0.041813352928233204,0.04035075474349456,0.10003946477057654,0.0960446861646483,0.07503275144120045,0.0747146067144133,0.058616727562209286,0.03385065888393602,0.05748219302325568,0.0,0.0,0.0,0.023255813953488372,0.09302325581395349,0.2558139534883721,0.5116279069767442,0.813953488372093,0.9069767441860465,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.058616727562209286,0.033850658883936034,0.05748219302325575,0.046233693223072664,0.04998319315646702
"Group 5, Number 4",0.0,0.005,1.49,22.88242923628596,46.956588082703895,414.00641649886165,0.0,0.0,0.5,0.9900126261821108,0.9900126261821108,0.03321615214186046,-0.008383087406337204,1.5302053069767443,118.1894958139535,0.03699690224058643,0.05661340523003617,0.08657853798233335,1.0171843791462405,0.07431025187756314,0.060062948484318646,0.0468051537353113,0.10643173934897127,0.0887179582566848,0.06567722410892209,0.0553282611371076,0.04128097387790697,0.04338544890401161,0.07345630232558133,0.0,0.0,0.0,0.06976744186046512,0.11627906976744186,0.3953488372093023,0.5813953488372093,0.8372093023255814,0.7674418604651163,0.9534883720930233,0.9069767441860465,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04128097387790697,0.04338544890401161,0.07345630232558138,0.042333211390959295,0.05270757503583332
"Group 5, Number 5",0.0,0.005,1.49,22.89578088044556,46.90928511482414,414.0038384889622,0.0,0.0,0.5,0.9900126261821108,0.9900126261821108,0.04031755999034882,0.009745295425988365,1.5067482941860466,117.9084071744186,0.02370144298771821,0.03330679961297764,0.06863403326586558,1.3251898380657818,0.0385671911930776,0.041880758622187146,0.028504121300347924,0.08505588669009513,0.0827218363296316,0.05368429436467211,0.0538747534849015,0.0410921227543023,0.026679994052732532,0.05934942674418603,0.0,0.0,0.0,0.046511627906976744,0.11627906976744186,0.4186046511627907,0.7441860465116279,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0410921227543023,0.026679994052732546,0.05934942674418607,0.03388605840351742,0.042373847850406966
"Group 8, Number 1",0.41,0.005,1.665,22.770275425345236,47.18547341115434,413.7983968386434,0.15000000000000013,0.0,-1.45,3.125835888206545,3.125835888206545,0.4568426239534883,0.056324679640116254,1.5089357494186049,110.23639750581397,0.09323861688828,0.022042789248717845,0.0811784327995854,0.844543963951193,0.08713248754662883,0.06548661297886109,0.05764070306849892,0.20023628481352276,0.1960103360649267,0.09687372915364152,0.0719350819979066,0.07226907546511624,0.051324679640116264,0.15606425058139536,0.0,0.0,0.0,0.0,0.0,0.13953488372093023,0.046511627906976744,0.7441860465116279,0.23255813953488372,0.8372093023255814,0.5348837209302325,0.9069767441860465,0.8837209302325582,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,0.0722690754651163,0.051324679640116264,0.15606425058139536,0.06179687755261628,0.09321933522887597
"Group 8, Number 2",-0.135,-0.19,1.935,22.43114366369116,50.84611276417181,417.05883027555706,-0.19999999999999996,-0.2999999999999998,0.5,1.4406769242269415,1.4406769242269415,-0.1801147830098837,-0.22174740593604653,1.5603578622093024,113.3161004476744,0.05507685671196661,0.05799795667041815,0.04991675153567901,1.1850687830384898,0.07926290103761774,0.05433052163935459,0.05653740669119238,0.3871009294771781,0.3785345157946583,0.07708696982907079,0.0615725430422603,0.051500883966860395,0.04956893138953485,0.37464213779069766,0.0,0.06976744186046512,0.0,0.13953488372093023,0.0,0.3488372093023256,0.0,0.7674418604651163,0.0,0.8604651162790697,0.0,0.9534883720930233,0.0,1.0,0.6511627906976745,1.0,1.0,1.0,1.0,1.0,0.051500883966860436,0.04956893138953488,0.3746421377906977,0.05053490767819766,0.158570651049031
"Group 8, Number 3",-0.135,-0.19,1.586,22.54329747463187,50.97581445029373,417.7695987489672,-0.19999999999999996,-0.25,0.10000000000000009,1.4886305787535066,1.4886305787535066,-0.17530317302499998,-0.20291554186976749,1.5444237959302325,114.19915825,0.05369532533598164,0.061325995110431616,0.054730767220071995,1.068120162066103,0.05761306064817645,0.05658402922216175,0.057510660223206625,0.10079967448958994,0.085679961960744,0.07431549802712821,0.0621823221548866,0.05147484433546505,0.04678303289767438,0.04994685174418605,0.0,0.0,0.023255813953488372,0.06976744186046512,0.16279069767441862,0.3953488372093023,0.6046511627906976,0.7674418604651163,0.8837209302325582,0.9302325581395349,0.9534883720930233,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05147484433546509,0.04678303289767442,0.04994685174418609,0.04912893861656976,0.04940157632577521
"Group 8, Number 4",-0.4,-0.19,1.586,22.572671091783025,50.96665903715572,417.8997179511204,-0.25,-0.09999999999999987,-1.15,2.7415864020672407,2.7415864020672407,-0.5609267911046512,-0.2585882893546511,1.474046919767442,115.4017769360465,0.08949278656882934,0.0520835127174964,0.038616387573211876,1.0493637132161386,0.11887405792524697,0.0600642289531792,0.07078814964316286,0.2216156023118271,0.2319474409517975,0.1805799598233455,0.1875004325106216,0.16265519552325577,0.07117120418023251,0.11195308023255816,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.023255813953488372,0.23255813953488372,0.23255813953488372,0.3953488372093023,0.37209302325581395,0.5581395348837209,0.813953488372093,0.9069767441860465,1.0,1.0,1.0,1.0,1.0,1.0,0.1626551955232558,0.07117120418023254,0.1119530802325582,0.11691319985174417,0.11525982664534884
"Group 8, Number 5",-0.4,-0.19,1.236,22.572671091783025,51.08110170138094,418.0503029100117,-0.19999999999999996,-0.09999999999999987,-1.5,2.7447761293045376,2.7447761293045376,-0.5692080405,-0.32881470935714285,1.5018501614285715,115.5915766,0.0811206106201611,0.05436385636513397,0.04005174619431606,1.0436223097108506,0.11556629005098285,0.05851207105987038,0.06774223349264753,0.3526901283017001,0.35419699090409,0.22105217002103758,0.2218913687612359,0.1695469550714285,0.13881470935714282,0.2658501614285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.2571428571428571,0.0,0.42857142857142855,0.2571428571428571,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,0.16954695507142853,0.13881470935714285,0.26585016142857143,0.1541808322142857,0.19140394195238095
"Group 8, Number 6",-0.4,-0.19,1.0,22.588693064774542,51.340505073624776,418.4694264137245,-0.2999999999999998,-0.1499999999999999,-1.4,2.4024154511657634,2.4024154511657634,-0.7273624009302325,-0.29720786453488374,1.3289004912790696,118.11077237790697,0.05666530314950388,0.051310786031472586,0.043817087457419614,0.9855034407513656,0.05633441710383291,0.05059772554613203,0.053988044590488234,0.48283455003856957,0.4814114507193893,0.3466963113011567,0.340648995146612,0.32736240093023256,0.10858208674418603,0.32890049127906973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.20930232558139536,0.023255813953488372,0.7674418604651163,0.6511627906976745,1.0,1.0,1.0,0.32736240093023256,0.10858208674418603,0.32890049127906973,0.2179722438372093,0.25494832631782943
"Group 8, Number 7",-0.4,-0.19,1.33,22.67147325856412,51.59380483710994,419.207826088592,-0.19999999999999996,-0.09999999999999987,-1.4,2.738795355626265,2.738795355626265,-0.560644939883721,-0.3021951388604651,1.507466998255814,114.7381170755814,0.07834724754802529,0.06279383825736552,0.04537162926114657,1.2742454643933334,0.094011193043187,0.062170905022179125,0.0705705429026954,0.27615839378123,0.2693375243916723,0.20657400489771144,0.2006709111739411,0.16604387453488367,0.11494453486046508,0.17746699825581383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.046511627906976744,0.23255813953488372,0.13953488372093023,0.4883720930232558,0.6744186046511628,0.9302325581395349,0.9534883720930233,0.9767441860465116,1.0,1.0,1.0,1.0,0.16604387453488373,0.11494453486046509,0.17746699825581388,0.1404942046976744,0.15281846921705422
"Group 8, Number 8",-0.11,-0.19,1.33,22.740901808194096,51.41374837872892,419.310189080818,-0.04999999999999982,-0.09999999999999987,-1.4,2.7321420168065935,2.7321420168065935,-0.16401601841965113,-0.2602229840116279,1.519984056395349,113.60908918023256,0.04448543582904882,0.07111707271384146,0.05202213219780009,1.0809391630536718,0.08505643148249514,0.05587488024689679,0.05780125427144514,0.21985924426548295,0.20969664118195,0.10278755266468745,0.0904811369502515,0.0593409292431395,0.0754049748953488,0.18998405639534874,0.0,0.0,0.0,0.046511627906976744,0.0,0.18604651162790697,0.046511627906976744,0.5813953488372093,0.16279069767441862,0.7906976744186046,0.4418604651162791,0.9069767441860465,0.9069767441860465,0.9767441860465116,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,0.059340929243139516,0.07540497489534884,0.18998405639534874,0.06737295206924417,0.10824332017794569
"Group 9, Number 1",-0.28,-0.425,2.148,21.133363851377126,49.0974288548104,408.841829872167,-0.34999999999999987,-0.5,0.20000000000000018,1.9506996180857779,1.9506996180857779,-0.26725051223837204,-0.46182554715116286,1.5475929645348836,119.87425618023258,0.05926948140311244,0.06903894315395034,0.06314869729847986,0.9932509986708289,0.08342606660122787,0.06381904061851422,0.0641542122785314,0.6083795467088717,0.6170718892556315,0.08461350894125653,0.0802435843124315,0.0435003919476744,0.06332347959302323,0.6004070354651165,0.0,0.0,0.0,0.06976744186046512,0.0,0.32558139534883723,0.0,0.6511627906976745,0.0,0.8604651162790697,0.0,1.0,0.0,1.0,0.0,1.0,0.06976744186046512,1.0,0.3953488372093023,1.0,0.04350039194767443,0.06332347959302327,0.6004070354651165,0.053411935770348855,0.23574363566860476
"Group 9, Number 2",-0.28,-0.425,1.803,21.42977035172045,48.920424200808725,409.9472886008842,-0.3999999999999999,-0.5499999999999999,0.30000000000000004,1.5129553859912723,1.5129553859912723,-0.3200471232093023,-0.48507354418604653,1.5141130575581392,120.66187504069767,0.07100342100671196,0.10009076275761672,0.05420645697235571,1.376318493362381,0.06334412082000712,0.07510021357889479,0.08554709188216433,0.32130207190513027,0.3147571621624976,0.1242561948167146,0.127817997656765,0.06753769504651158,0.09557992732558135,0.2888869424418603,0.0,0.0,0.0,0.0,0.0,0.16279069767441862,0.0,0.4186046511627907,0.0,0.627906976744186,0.0,0.813953488372093,0.32558139534883723,1.0,0.8604651162790697,1.0,1.0,1.0,1.0,1.0,0.06753769504651162,0.09557992732558139,0.2888869424418603,0.0815588111860465,0.15066818827131778
"Group 9, Number 3",0.285,0.145,1.74,22.78362706950485,51.50988021667811,419.6476554928251,0.5500000000000003,0.30000000000000004,0.5,1.2774388439373527,1.2774388439373527,0.2880366304488372,0.2208439912363372,1.6566114209302325,119.91356490697673,0.08037701113947493,0.10209929922058328,0.05747445084786171,1.0022940677375922,0.07964988787798408,0.07998358706930664,0.0912381551800291,0.16905152604736484,0.1631842647556177,0.13571459278667716,0.135335664019792,0.0634103081558139,0.10601436075203485,0.08904325697674412,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.3023255813953488,0.37209302325581395,0.6046511627906976,0.6744186046511628,0.9069767441860465,0.9767441860465116,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,0.06341030815581396,0.10601436075203487,0.08904325697674419,0.08471233445392441,0.08615597529486434
"Group 9, Number 4",0.285,-0.155,1.74,22.99458304722667,51.795223926146335,421.0729327229333,0.10000000000000009,-0.04999999999999982,-1.45,3.197084609452806,3.197084609452806,0.3088638364125,-0.07587491865,1.634850639375,117.19247353124997,0.07190233011681654,0.15122533528287826,0.053771022919596775,1.0972662087829155,0.09190320357109263,0.0922995627730972,0.1115638326998474,0.20047355754844448,0.1825151925553976,0.15210571375903775,0.12607757009730555,0.057033397712499975,0.1295167244,0.10591230562499994,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.425,0.325,0.575,0.625,0.8,0.9,0.9,0.95,0.95,0.975,0.975,1.0,1.0,0.057033397712500024,0.1295167244,0.10591230562500001,0.09327506105624998,0.0974874759125
"Group 9, Number 5",-0.25,-0.68,1.53,23.00793469138628,51.58007171740292,420.8505177820705,-0.09999999999999987,-0.5,-1.5,3.0390459029109778,3.0390459029109778,-0.12321937000116277,-0.6395692432558139,1.5239047505813952,119.50453785465116,0.11591235288771515,0.136399257822028,0.1337160678328533,0.9978927530149261,0.08646332008239649,0.12867589284753214,0.1261558053548716,0.23607944852949841,0.2059095521778669,0.1924786147955044,0.1624284862347138,0.1454099198825581,0.10334726232558132,0.11489213313953482,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,0.13953488372093023,0.13953488372093023,0.46511627906976744,0.3953488372093023,0.6976744186046512,0.8604651162790697,0.8604651162790697,0.9069767441860465,0.9302325581395349,0.9302325581395349,0.9767441860465116,1.0,1.0,0.14540991988255816,0.10334726232558136,0.11489213313953486,0.12437859110406978,0.1212164384492248
